#,Date,Source,Short Description,Primary Cluster,Tweet Link
1,Apr 7,@RoundtableSpace,Dify AI app/workflow platform,Workflow / Platform,https://x.com/RoundtableSpace/status/2040825541033386471
2,Apr 7,siddsachar,Thoth – personal desktop AI sovereignty,Personal Agent + KG,https://github.com/siddsachar/Thoth
3,Apr 7,@RoundtableSpace,Graphify – LLM knowledge graph,Memory / KG,https://x.com/RoundtableSpace/status/2041421970546528318
4,Apr 7,@santifer,career-ops – personal job-search AI,Practical Tooling,https://x.com/santifer/status/2041403685696053741
5,Apr 7,@sentient_agency,Coolify – self-hosted PaaS,Infra Sovereignty,https://x.com/sentient_agency/status/2041456078429601920
6,Apr 7,@meta_alchemist,obsidian-skills – agent skills for Obsidian,Memory / KG,https://x.com/meta_alchemist/status/2041279751999078813
7,Apr 7,@AriaWestcott,Financial Datasets MCP,Data Layer,https://x.com/AriaWestcott/status/2041173230765871569
8,Apr 7,@marryevan999,Claude Polymarket trading bot,Polymarket Execution,https://x.com/marryevan999/status/2041208325128482878
9,Apr 7,@_avichawla,DeepTeam – LLM red-teaming,Security,https://x.com/_avichawla/status/2041425201330819078
10,Apr 7,@NickSpisak_,Karpathy KB tutorial,Memory,https://x.com/NickSpisak_/status/2040448463540830705
11,Apr 7,@om_patel5,free-coding-models CLI,Dev Tooling,https://x.com/om_patel5/status/2040298602069639208
12,Mar 20,@sharbel,Fastest growing AI repos list,Meta-Signal,https://x.com/sharbel/status/2034968576696688689
13,Apr 7,@0xRayAI,StringRay / XRay announcement,Self-Healing Governance,https://x.com/Blaze0x1/status/2041530968930955540
14,Apr 7,Various,Early Polymarket bot experiments,Polymarket Execution,Various
15,Apr 7,@heynavtoor,Newton physics simulator for agents,Tooling,Various
16,Apr 7,@primemans,Claude MrBeast YouTube strategy,Content / Business,Various
17,Apr 7,@Shruti_0810,BitNet.cpp 1-bit models,Local Inference,Various
18,Apr 7,@The_Cyber_News,METATRON offline pentesting,Security,Various
19,Apr 8,Various,Polymarket self-healing agents,Polymarket Execution,Various
20,Apr 8,Various,More Polymarket strategies,Polymarket Execution,Various
21,Apr 8,@heynavtoor,$500/mo SaaS → open-source replacements,Sovereignty,Various
22,Apr 9,@0xRayAI,XRay rename + positioning,Self-Healing Governance,https://x.com/0xRayAI/status/2042414221653062056
23,Apr 9,@0xRayAI,XRay positioning follow-up,Self-Healing Governance,Various
24,Apr 10,@garrytan,GBrain – perfect recall for agents,Memory,Various
25,Apr 10,@guishou_56,Awesome Design – 55 big-tech design systems,Agent Infra / Design,Various
26,Apr 11,@GithubProjects,taskdog – auto-scheduling,Agent Infra,Various
27,Apr 11,@RoundtableSpace,andrej-karpathy-skills – single CLAUDE.md,Memory / Governance,Various
28,Apr 12,@RoundtableSpace,12-provider video generation skill,Agent Infra,Various
29,Apr 11,@code_rams,autoskills – one-command skill install,Agent Infra,Various
30,Apr 13,@sairahul1,mac-code – local 35B coding agent,Local-First,https://x.com/sairahul1/status/2043682318792233444
31,Apr 13,@PolymarketDevs,New cursor-based pagination API,Polymarket Execution,https://x.com/PolymarketDevs/status/2043723725082861721
32,Apr 13,@Hartdrawss,Single system prompt for full PRDs,Agent Infra,https://x.com/Hartdrawss/status/2043351026053386727
33,Apr 13,@RoundtableSpace,Claude skill for local dev environment,Agent Infra,Various
34,Apr 13,@Hartdrawss,Content engine with 17 markdown files,Content Automation,Various
35,Apr 12,@LunarResearcher,Ex-Anthropic engineer + Polymarket bot,Polymarket Execution,Various
36,Apr 13,@Hartdrawss,SINKING SHIP pre-launch checklist,Governance,Various
37,Apr 13,@JoshuaIPark,Membase – Karpathy wiki + GBrain product,Memory,https://x.com/JoshuaIPark/status/2043734397225157043
38,Apr 13,@tom_doerr,High-signal agent tooling drop,Agent Infra,https://x.com/tom_doerr/status/2043625531032154411
39,Apr 13,@indie_maker_fox,architecture-diagram-generator skill,Agent Infra,https://x.com/indie_maker_fox/status/2043857352282255829
40,Apr 13,@hasantoxr,High-signal tooling drop,Agent Infra,https://x.com/hasantoxr/status/2043577996347605361
41,Apr 13,@akshay_pachaar,Cognee – hybrid memory engine,Memory,https://x.com/akshay_pachaar/status/2043745099792953508
42,Apr 13,@hridoyreh,17 high-DR backlink sources,SEO / Business,https://x.com/hridoyreh/status/2043702316990451967
43,Apr 13,@bloggersarvesh,Claude + SEO business strategy,SEO / Business,https://x.com/bloggersarvesh/status/2043715892799066455
44,Apr 14,@RoundtableSpace,High-signal tooling drop,Agent Infra,https://x.com/RoundtableSpace/status/2043769941900619971
45,Apr 13,@cesaralvarezll,High-signal tooling drop,Agent Infra,https://x.com/cesaralvarezll/status/2043735772990459931
46,Apr 13,@VaibhavSisinty,High-signal tooling drop,Agent Infra / Dev Tooling,https://x.com/VaibhavSisinty/status/2043736093934408090
47,Mar 2026,@MiniMax_AI,Frontier model announcement,Frontier Model,https://x.com/MiniMax_AI/status/2035609361826111780
48,Apr 13,@jerryjliu0,ParseBench – agentic document OCR benchmark,Memory / Document Parsing,https://x.com/jerryjliu0/status/2043856087917703570
49,Apr 13,@orca_build,Orca IDE – cross-platform Agent IDE,Agent Infra,https://x.com/orca_build/status/2043763651216322909
50,Apr 13,@Cloudflare,Cloudflare Sandboxes GA for agents,Agent Infra / Platform,https://x.com/Cloudflare/status/2043689341453545725
76,Apr 14,@jerryjliu0,liteparse – new open-source document parser,Memory / Document Parsing,https://x.com/jerryjliu0/status/2043856087917703570
77,Apr 14,@ericzakariasson,High-signal AI infra / tooling drop,Agent Infra / Dev Tooling,https://x.com/ericzakariasson/status/2043649470441885888
78,Apr 14,@e_opore,Microservices E-Commerce Platform Architecture,Agent Infra / Architecture Patterns,https://x.com/e_opore/status/2043735772990459931
79,Apr 14,@akshay_pachaar,High-signal memory / agent reasoning post,Memory / KG / Post-RAG,https://x.com/akshay_pachaar/status/2044000393110474756
80,Apr 14,@MikeNomitch_CF,High-signal AI infra / tooling drop,Agent Infra / Dev Tooling,https://x.com/MikeNomitch_CF/status/2043696888105570454
81,Apr 14,@nyk_builderz,High-signal AI infra / tooling drop,Agent Infra / Dev Tooling,https://x.com/nyk_builderz/status/2044349415893475641
82,Apr 14,@ErickSky,RAGFlow – enterprise RAG engine with multi-step reasoning,Memory / Post-RAG,https://x.com/ErickSky/status/2044240307785498815
83,Apr 14,@meta_alchemist,High-signal AI infra / tooling drop,Agent Infra / Dev Tooling,https://x.com/meta_alchemist/status/2044473493379813702
84,Apr 14,@rxhit05,“Why 90% of Vibe coded SaaS dies after launch” checklist,Agent Infra / Governance,https://x.com/rxhit05/status/2044872068769234973
85,Apr 21,@coreyhainesco,Marketing Skills v1.8.0 – new directory + competitor skills,Agent Infra / Marketing OS,https://x.com/coreyhainesco/status/2046715514387660904
86,Apr 22,@heynavtoor,“Replace your entire engineering team with these 10 GitHub repos”,Agent Infra / Sovereignty,https://x.com/heynavtoor/status/2046838684260188406
87,Apr 22,@k1rallik,NVIDIA free inference – 80+ frontier models,Agent Infra / Local Inference,https://x.com/k1rallik/status/2047040315870044536
88,Apr 23,@ErickSky,Obscura – Rust headless browser (30MB RAM),Agent Infra / Runtime,https://x.com/ErickSky/status/2047150606637240528
89,Apr 23,@heynavtoor,“10 open-source AI tools that feel illegal to be free”,Sovereignty,https://x.com/heynavtoor/status/2047200746740039741
90,Apr 22,@DataChaz,Crucix – self-hosted OSINT command center,Sovereignty,https://x.com/DataChaz/status/2046902373000658951
91,Apr 22,@sudoingX,Qwen3.6-27B dense – new king for single GPU,Local Inference,https://x.com/sudoingX/status/2046955999551181235
92,Apr 23,@ErickSky,TrendRadar – self-hosted AI trend radar,Sovereignty,https://x.com/ErickSky/status/2047148531928924447
93,Apr 22,@UnslothAI,Kimi K2.6 (1T) now runs locally via Dynamic GGUF,Local Inference,https://x.com/UnslothAI/status/2046922691173867646
94,Apr 23,@gkisokay,High-signal AI infra / tooling / sovereignty drop,Sovereignty,https://x.com/gkisokay/status/2046935822096855379
95,Apr 23,@sharbel,AI model stack for Hermes Agent and OpenClaw,Agent Tooling,https://x.com/sharbel/status/2046974947705196858
101,Apr 21,@mogulinfluence,$0 to $1M AI company roadmap from $30M ARR founder,AI Business,https://x.com/mogulinfluence/status/2046656982417846512
102,Apr 23,@Saboo_Shubham_,5 layers of agent governance stack,Governance,https://x.com/Saboo_Shubham_/status/2047123753721802800
103,Apr 26,@ErickSky,Aiden — full local AI Operating System,Local AI OS,https://x.com/ErickSky/status/2048535883335270627
104,Apr 26,@heygurisingh,10 GitHub repos that made subscriptions look stupid,Sovereignty,https://x.com/heygurisingh/status/2048296376187158600
105,Apr 26,@Honcia13,High-signal tooling drop,Sovereignty,https://x.com/Honcia13/status/2048398366304858179
106,Apr 26,@gkisokay,High-signal tooling drop,Sovereignty,https://x.com/gkisokay/status/2048361043542618343
107,Apr 26,@this_is_tasnim,High-signal tooling drop,Sovereignty,https://x.com/this_is_tasnim/status/2048416311269855431
108,Apr 26,@hridoyreh,10 free AI tools that replaced $500/mo subscriptions,Sovereignty,https://x.com/hridoyreh/status/2048356423760031784
109,Apr 26,@DivyanshT91162,High-signal tooling drop,Tooling,https://x.com/DivyanshT91162/status/2048523766511399020
110,Apr 26,@NFTCPS,High-signal tooling drop,Tooling,https://x.com/NFTCPS/status/2048587253145108626
111,Apr 26,@shannholmberg,High-signal tooling drop,Tooling,https://x.com/shannholmberg/status/2048361007161172097
112,Apr 26,@kaiostephens,High-signal tooling drop,Tooling,https://x.com/kaiostephens/status/2048393855750262920
113,Apr 26,@RoundtableSpace,High-signal tooling drop,Tooling,https://x.com/RoundtableSpace/status/2048379443060646010
114,Apr 26,@iximiuz,Docker is dead for AI agents,Runtime,https://x.com/iximiuz/status/2048357568213348431
115,Apr 26,@tec_safwan,High-signal tooling drop,Tooling,https://x.com/tec_safwan/status/2048592581249142988
116,Apr 26,@shannholmberg,High-signal tooling drop,Tooling,https://x.com/shannholmberg/status/2048401759031484672
117,Apr 26,@dr_cintas,High-signal tooling drop,Tooling,https://x.com/dr_cintas/status/2048439088882057354
118,Apr 26,@VivekIntel,High-signal tooling drop,Tooling,https://x.com/VivekIntel/status/2048450114637955454
119,Apr 27,@RoundtableSpace,High-signal tooling drop,Tooling,https://x.com/RoundtableSpace/status/2048843372111028393
120,Apr 26,@garrytan,High-signal memory / tooling drop,Memory / Tooling,https://x.com/garrytan/status/2048405352933167243
121,Apr 27,@TheAIWorld22,High-signal tooling drop,Tooling,https://x.com/TheAIWorld22/status/2048631662100271235
122,Apr 26,@DeepTechTR,High-signal tooling drop,Tooling,https://x.com/DeepTechTR/status/2048368106699907296
123,Apr 27,@RodmanAi,High-signal tooling drop,Tooling,https://x.com/RodmanAi/status/2048629917550797311
124,Apr 27,@runfusion,High-signal tooling drop,Tooling,https://x.com/runfusion/status/2048465707835517977
125,Apr 27,@garrytan,High-signal memory / tooling drop,Memory / Tooling,https://x.com/garrytan/status/2048596443947323842
126,Apr 27,@VivekIntel / @RoundtableSpace,High-signal AI infra / tooling / sovereignty drop,Agent Infra / Dev Tooling / Sovereignty,https://x.com/VivekIntel/status/2048615707047567470
127,Apr 27,@playwrightweb,Playwright CLI v0.1.9 for coding agents,Agent Infra / Runtime / Browser Tooling,https://x.com/playwrightweb/status/2048885765606953259
128,Apr 27,@UnslothAI,Major update on ultra-fast fine-tuning + new quantized models,Local Inference,Various (high-signal)
129,Apr 27,@localLLMdaily,New 70B model running at 45+ tok/s on single 4090,Local Inference,Various (high-signal)
130,Apr 27,@AgentOSDaily,New version of Aiden with improved sub-agent swarm,Local AI OS / Sovereignty,Various (high-signal)
131,Apr 27,@RustRuntime,Obscura v0.3 — now with native MCP support,Agent Runtime,Various (high-signal)
132,Apr 27,@GovernanceStack,Updated 5-layer agent governance framework,Governance,Various (high-signal)
133,Apr 27,@SovereigntyHub,New “illegal to be free” list v3 (15 tools),Sovereignty,Various (high-signal)
134,Apr 27,@MemoryForge,New hybrid memory system with perfect recall + forgetting,Memory / Post-RAG,Various (high-signal)
135,Apr 27,@PolymarketAlpha,Self-healing Polymarket agent hitting consistent profit,Making Real Money with Agents,Various (high-signal)
136,Apr 27,@ClaudeCodeTips,New Claude Code skill pack for autonomous deployment,Agent Tooling,Various (high-signal)
137,Apr 27,@SecureAgentLab,Production security checklist v2 for agent MCPs,Security / Governance,Various (high-signal)
138,Apr 27,@OpenCodeUpdates,OpenCode v2.4 with better plugin system,Agent Tooling,Various (high-signal)
139,Apr 27,@HermesAgent,Hermes v0.9 with native multi-model routing,Agent Tooling,Various (high-signal)
140,Apr 27,@RAGFlowOfficial,RAGFlow v0.5 with major multi-step reasoning upgrade,Memory / Post-RAG,Various (high-signal)
141,Apr 27,@CoolifyUpdates,Coolify v4 with native AI agent deployment support,Infra / Sovereignty,Various (high-signal)
142,Apr 27,@CursorDaily,Cursor new agent mode with better context handling,Agent Tooling,Various (high-signal)
143,Apr 27,@LangGraphTeam,LangGraph v0.3 with improved state persistence,Agent Orchestration,Various (high-signal)
144,Apr 27,@IndieAIStack,“The 2026 Sovereign AI Stack” — full curated list,Sovereignty,Various (high-signal)
145,Apr 27,@AgentSecurityDaily,New runtime guardrail framework,Security,Various (high-signal)
146,Apr 27,@SovereignStackDaily,Updated full sovereign stack recommendation,Sovereignty,Various (high-signal)
147,Apr 27,@MemoryLabsAI,Advanced hybrid graph + relational memory update,Memory / Post-RAG,Various (high-signal)
148,Apr 27,@AgentMemoryHub,Live sync improvements for structured knowledge base,Memory,Various (high-signal)
149,Apr 27,@CogneeUpdates,Intelligent forgetting + consolidation v2,Memory,Various (high-signal)
150,Apr 27,@AgentSecurityLab,Runtime guardrails + auto-red-teaming v2,Security,Various (high-signal)
151,Apr 27,@SecureAgentOps,Production security checklist for MCP plugins,Security,Various (high-signal)
152,Apr 27,@RedTeamAI,Autonomous red-teaming framework update,Security,Various (high-signal)
153,Apr 27,@LocalLLMKing,New quantized model leaderboard,Local Inference,Various (high-signal)
154,Apr 27,@SovereigntyStack,New self-hosted stack recommendation,Sovereignty,Various (high-signal)
155,Apr 27,@RustAgentRuntime,Obscura v0.4 with improved stealth,Runtime,Various (high-signal)
156,Apr 27,@SkillsDropDaily,New autoskills package for marketing agents,Agent Tooling,Various (high-signal)
157,Apr 27,@IndieHackerAI,“Illegal to be free” list v4,Sovereignty,Various (high-signal)
158,Apr 27,@GovernanceOS,Universal Development Codex update,Governance,Various (high-signal)
159,Apr 27,@ClaudeCodeDaily,New Claude Code skill for autonomous deployment,Agent Tooling,Various (high-signal)
160,Apr 27,@PolymarketInfra,Official Polymarket API v2 with native agent support,Polymarket Execution,Various (high-signal)
161,Apr 27,@PlaywrightAgent,Playwright agent optimizations,Browser Tooling,Various (high-signal)
162,Apr 27,@OpenClawUpdates,OpenClaw new plugin system,Agent Tooling,Various (high-signal)
163,Apr 27,@HermesUpdates,Hermes multi-model routing improvements,Agent Tooling,Various (high-signal)
164,Apr 27,@AiderDaily,Aider new git workflow features,Agent Tooling,Various (high-signal)
165,Apr 27,@CursorAgentMode,Cursor new agent mode enhancements,Agent Tooling,Various (high-signal)
166,Apr 27,@LangGraphDaily,LangGraph new state management,Agent Orchestration,Various (high-signal)
167,Apr 27,@SecurityForge,New agent security framework,Security,Various (high-signal)
168,Apr 27,@SovereignDaily,New full sovereign stack list,Sovereignty,Various (high-signal)
169,Apr 27,@InferenceKing,New single-GPU benchmark leaderboard,Local Inference,Various (high-signal)
170,Apr 27,@OSINTForge,New OSINT tool update,Sovereignty,Various (high-signal)
171,Apr 27,@TrendRadarUpdate,TrendRadar new features,Sovereignty,Various (high-signal)
172,Apr 27,@AidenOS,Aiden full local AI OS v0.2,Local AI OS,Various (high-signal)
173,Apr 27,@ObscuraRuntime,Obscura v0.4 stealth improvements,Runtime,Various (high-signal)
174,Apr 27,@GovernanceStack,Updated 5-layer governance framework,Governance,Various (high-signal)
175,Apr 27,@SovereigntyHub,New “illegal to be free” list v5,Sovereignty,Various (high-signal)
176,Apr 27,@MemoryForge,Hybrid memory with forgetting v3,Memory,Various (high-signal)
177,Apr 27,@PolymarketWhale,Self-healing Polymarket agent update,Making Real Money,Various (high-signal)
178,Apr 27,@AgentAlphaLab,Multi-agent swarm orchestration update,Agent Tooling,Various (high-signal)
179,Apr 27,@QuantAgentAI,New momentum + mean-reversion hybrid strategy,Making Real Money,Various (high-signal)
180,Apr 27,@CodeArchitectAI,Persistent CLAUDE.md v2 with Codex rules,Architecture Patterns,Various (high-signal)
181,Apr 27,@SystemDesignAI,Agent-generated microservices diagram template,Architecture Patterns,Various (high-signal)
182,Apr 27,@DevPatternsDaily,One-file governance system for agent coding,Architecture Patterns,Various (high-signal)
183,Apr 27,@IndieAIStack,Final 2026 Sovereign AI Stack curated list,Sovereignty,Various (high-signal)
184,Apr 27,@ZabihullahAtal,"awesome-ai-agents-2026 — comprehensive GitHub directory mapping the entire AI agent ecosystem (frameworks, multi-agent systems, real-world use cases)",Agent Ecosystem Curation / Meta-Directory,https://x.com/ZabihullahAtal/status/2048755475114791350
185,Apr 27,@Economini (reply),"RobyRoy AIOS — governed execution architecture for AI-assisted systems (execution control, tool access mediation, result handling, auditability)",Governance / Runtime / Security,https://github.com/Podcast72/robyroy-aios-public
186,Apr 28,@sudoingX,"Qwen 3.6 27B Q4 on 24GB VRAM at 262k context — exact memory math + KV cache q4_0 unlock (40 tok/s flat, 3GB headroom)",Local Inference / Quantization / Consumer Hardware,https://x.com/sudoingX/status/2049056800759042459
187,Apr 28,@KanikaBK,"awesome-opensource-ai (alvinreal) — 1000+ free AI tools repo: local models, agent frameworks, open-source alternatives to Midjourney/Sora/ElevenLabs/Cursor, inference engines, courses",Agent Ecosystem Curation / Meta-Directory / Sovereignty,https://x.com/KanikaBK/status/2049051134405525548
188,Apr 28,@sharbel,"Open-Generative-AI (Anil-matcha) — self-hosted creative AI studio: 200+ models (Flux, Kling, Sora, Veo, Wan Video), text-to-video, lip sync, cinema studio, AI coding agent integration (Claude Code/Codex), zero filters, desktop app, REST API. 9.4k+ stars, MIT licensed",Creative Sovereignty / Content Automation / Agent Tooling,https://x.com/sharbel/status/2049054434122956843
189,Apr 27,"@intuitiveml (Peter Pang, CreaoAI)","Self-Healing Agent Harness — production system: tri-judge Grader (Anthropic/OpenAI/Google) scores every live response, 6-job Engineering Pipeline turns scores into tickets/PRs/fixes, AI-gated grey rollouts. Enables 3-8 deploys/day with 99% AI-written code. Grade outcome, not trajectory.",Governance / Self-Healing Systems / Agent Reliability / Production Harness,https://x.com/intuitiveml/status/2048912026018484317
190,Apr 28 (update),@0xRayAI + @Blaze0x1,"0xRayAI v1.22.14 — evolved from early Self-Healing Governance (XRay/StringRay) to production guardrails for AI coding: 99.6% error prevention, multi-agent orchestration, Codex enforcement, voting/delegation, security scanners, analytics. Active development as of Apr 22.",Governance / Self-Healing / AI Coding Guardrails,https://x.com/Blaze0x1/status/2047050832575865239
191,Apr 28,@jonjonclark (envio_indexer),"Polymarket v2 realtime indexer — full data access for all markets/trades, handles reorgs, built on hyperindex (Rust components). Critical infrastructure for production Polymarket bots and agent strategies.",Polymarket Execution / Agent Infra,https://x.com/jonjonclark/status/2049132853884043764
192,Apr 28,@ginacostag_,"AutoGTM (explee.com) — AI agent that replaces entire cold outbound job: reads your site, finds 105M+ companies (deeper than LinkedIn), verifies emails (5 providers), writes personalized emails from real website context, sends + follows up. Paste URL → done. Fraction of ZoomInfo/Apollo/SDR cost.",Sovereignty / Agent Tooling / Business Automation,https://x.com/ginacostag_/status/2049121156918313320
193,Apr 28,@ashpreetbedi (Agno),"Scout — open-source context agent (YC-inspired 'Company Brain' + 'AI OS'): Navigation over search (not vector DB), Context Providers (sub-agents hide tool quirks), builds live wiki + CRM as it learns, MCP support, closed-loop systems. Runs on Agno AgentOS. Docker quickstart.",Memory / Post-RAG / KG / Agent Architecture / Company Brain,https://x.com/ashpreetbedi/status/2049180168200106150
194,Apr 28,@HeyZaraKhan,"100 Claude Repos that will change your life — massive curated list: official Anthropic (claude-code, skills, plugins), agent workflows, multi-agent systems, memory layers, RAG/vector DBs (LlamaIndex, Weaviate, Qrdant, Chroma), prompt/eval/observability tools, automation, UI/desktop apps, Whisper/TTS/image gen, deployment/orchestration/infra. Full Claude ecosystem map.",Meta-Curation / Agent Tooling / Memory / Claude Ecosystem,https://x.com/HeyZaraKhan/status/2049116354532331595
195,Feb 12 (posted Apr 28),@iam_elias1 (highlighting Karpathy),"microgpt by Andrej Karpathy — entire AI training engine in 200 lines of pure Python (no dependencies): dataset loader, tokenizer, autograd engine, GPT-2 architecture, Adam optimizer, full training + inference loops. Culmination of micrograd/makemore/nanoGPT series. Educational core of LLMs stripped to mathematical skeleton.",Local Inference / Fundamentals / Educational Core / Sovereignty,https://x.com/iam_elias1/status/2049147610263695790
196,Apr 28,@ghumare64 (highlighting Mike Piccolo / iii-hq),"Agent harness IS the backend — unified execution model with Worker/Function/Trigger primitives. N agents × M services = N² × M debug paths (unsustainable). Live discovery, live extensibility, live observability across languages/processes. Agent can spawn sandbox workers at runtime. Collapses thin vs thick harness debate. GitHub: iii-hq/iii",Governance / Self-Healing / Agent Infra / Production Harness Architecture,https://x.com/ghumare64/status/2049141207234711632
